userid,arrive_time
503,2014/9/17
505,2014/9/19
596,2014/9/28
570,2014/9/30
554,2014/10/7
603,2014/10/17
553,2014/10/17
538,2014/10/18
607,2014/10/22
605,2014/11/3
530,2014/11/6
513,2014/11/6
583,2014/11/10
609,2014/11/13
510,2014/12/10
611,2014/12/19
614,2014/12/23
618,2014/12/23
620,2014/12/23
601,2014/12/23
619,2014/12/23
616,2014/12/23
617,2014/12/23
615,2014/12/23
612,2014/12/23
623,2014/12/24
622,2014/12/24
624,2014/12/24
628,2014/12/29
613,2014/12/31
631,2015/1/6
630,2015/1/6
632,2015/1/9
633,2015/1/9
634,2015/1/23
629,2015/1/31
653,2015/1/31
635,2015/1/31
648,2015/2/2
647,2015/2/2
644,2015/2/2
640,2015/2/2
646,2015/2/2
655,2015/2/2
641,2015/2/4
661,2015/2/6
660,2015/2/6
662,2015/2/9
663,2015/3/6
645,2015/3/6
657,2015/3/12
1168,2015/3/12
1169,2015/3/14
652,2015/3/17
664,2015/3/23
1170,2015/3/25
754,2015/3/25
1171,2015/3/26
637,2015/3/27
627,2015/4/8
1166,2015/4/9
1173,2015/4/10
656,2015/4/14
983,2015/4/19
1001,2015/4/20
1175,2015/4/20
1176,2015/4/23
659,2015/4/23
643,2015/4/28
1178,2015/5/7
864,2015/5/7
1177,2015/5/7
1174,2015/5/14
639,2015/5/22
658,2015/5/27
1181,2015/6/12
621,2015/6/17
1183,2015/6/25
1182,2015/6/25
638,2015/8/1
1184,2015/8/4
651,2015/8/24
1186,2015/9/8
1188,2015/9/11
1187,2015/9/11
1189,2015/9/17
1185,2015/9/20
1190,2015/9/29
763,2015/10/29
1192,2015/11/10
1193,2015/11/24
1195,2015/12/3
702,2015/12/6
709,2015/12/8
1196,2015/12/9
1198,2015/12/9
866,2015/12/10
1200,2015/12/14
759,2015/12/25
757,2016/1/1
1201,2016/1/3
1202,2016/1/11
727,2016/1/19
1203,2016/1/21
795,2016/1/25
667,2016/2/17
1205,2016/2/27
1207,2016/3/4
1209,2016/3/29
1199,2016/3/31
1212,2016/4/18
1210,2016/4/18
1216,2016/4/20
1215,2016/4/21
1204,2016/4/27
934,2016/4/28
1211,2016/4/28
1228,2016/4/29
1213,2016/5/9
1221,2016/5/11
1227,2016/5/12
1223,2016/5/16
1229,2016/5/16
748,2016/5/16
1218,2016/5/16
1220,2016/5/17
649,2016/5/17
1235,2016/5/24
1219,2016/5/25
973,2016/6/2
1238,2016/6/8
1239,2016/6/8
1237,2016/6/14
1242,2016/6/27
1246,2016/7/28
1247,2016/8/16
1248,2016/8/29
1233,2016/8/30
626,2016/8/31
1214,2016/9/3
993,2016/9/9
1240,2016/9/13
1217,2016/9/14
1250,2016/9/20
895,2016/9/21
1252,2016/9/29
1255,2016/9/29
1254,2016/10/1
1256,2016/10/1
1257,2016/10/1
1241,2016/10/9
1259,2016/10/10
1260,2016/10/10
1261,2016/10/10
625,2016/10/11
1263,2016/10/12
1262,2016/10/13
1265,2016/10/24
1266,2016/10/24
1269,2016/10/25
1270,2016/10/25
1268,2016/10/25
1267,2016/10/26
1258,2016/10/27
1165,2016/10/28
1167,2016/10/29
1236,2016/11/1
1271,2016/11/1
1273,2016/11/5
1224,2016/11/29
1225,2016/11/29
1264,2016/11/30
1275,2016/12/1
1278,2016/12/6
1277,2016/12/8
1276,2016/12/9
1274,2016/12/12
1279,2016/12/13
1280,2016/12/23
1281,2016/12/28
1282,2017/1/9
747,2017/1/10
1287,2017/1/19
1284,2017/1/19
1285,2017/1/19
1179,2017/2/13
1283,2017/2/15
1288,2017/3/1
1293,2017/3/1
1291,2017/3/2
1292,2017/3/2
1295,2017/3/2
1290,2017/3/3
1294,2017/3/6
1289,2017/3/6
1296,2017/3/15
865,2017/3/27
867,2017/3/27
868,2017/3/27
1299,2017/3/28
1297,2017/4/7
1301,2017/4/14
969,2017/4/19
1053,2017/5/6
962,2017/5/11
967,2017/5/15
1063,2017/5/19
1305,2017/6/19
1312,2017/6/20
1311,2017/6/21
1314,2017/6/29
1315,2017/6/30
1009,2017/7/5
1010,2017/7/5
688,2017/7/21
1317,2017/7/25
1316,2017/7/27
1318,2017/7/28
1319,2017/8/1
1300,2017/8/13
650,2017/8/28
1322,2017/9/4
1310,2017/9/4
1325,2017/9/5
1321,2017/9/10
1323,2017/9/19
1326,2017/9/30
1327,2017/10/16
1328,2017/10/17
1329,2017/10/23
1334,2017/10/25
1342,2017/10/28
1309,2017/11/1
1331,2017/11/1
1324,2017/11/2
1338,2017/11/3
1339,2017/11/9
1337,2017/11/11
1344,2017/11/17
1346,2017/11/18
746,2017/11/20
741,2017/11/22
1345,2017/11/22
760,2017/11/23
1232,2017/11/23
1343,2017/11/26
