userid,morning,noon,night
503,9272,36260,2077
505,1485,1395,2
510,2262,2422,1248
513,25,63,42
530,23,168,14
538,2639,2451,1113
553,143,267,51
554,701,873,126
570,357,309,84
583,484,731,142
596,521,638,80
601,426,368,34
603,2885,2947,798
605,11,109,15
607,385,310,0
609,1,4,0
611,232,235,33
612,2754,2490,1314
613,516,444,99
614,1128,1058,73
615,477,471,0
616,354,217,10
617,9,28,0
618,4204,5094,614
619,5798,10019,6147
620,271,299,54
621,98,58,0
622,30,52,13
623,1826,2394,1882
624,158,224,33
625,460,590,161
626,1477,1796,494
627,620,548,28
628,446,868,907
629,1156,1127,118
630,838,833,114
631,3,4,0
632,749,497,157
633,24,8,0
634,84,71,97
635,1457,1767,510
637,5036,6456,525
638,61,45,18
639,1774,2374,389
640,3003,3021,355
641,2109,2803,489
643,294,423,21
644,313,565,17
645,320,353,88
646,1782,1451,682
647,1067,1065,68
648,1893,1466,99
649,378,311,128
650,294,379,18
651,466,659,108
652,1951,1754,197
653,3854,2930,1540
655,338,288,32
656,96,113,59
657,5,17,0
658,117,131,0
659,406,454,17
660,38,63,60
661,42,27,0
662,359,173,8
663,5,3,0
664,25,8,0
667,17,0,0
688,0,1,0
702,0,1,0
709,17,3,0
727,2751,3880,655
741,2,1,0
746,2,3,0
747,0,1,0
748,1,0,0
754,60,23,0
757,0,11,0
759,21,4,0
760,1,0,0
763,14,10,0
795,51,14,0
864,243,48,1
865,9,6,0
866,5,32,0
867,4,1,0
868,4,1,0
895,27,105,0
934,4,1,0
962,1,0,0
967,2,12,0
969,1,0,0
973,10,0,0
983,0,36,21
993,73,97,32
1001,115,85,25
1009,0,1,0
1010,0,3,0
1053,0,0,1
1063,10,5,0
1165,65,142,64
1166,91,131,61
1167,4184,18114,15170
1168,737,562,115
1169,7005,7547,280
1170,569,474,119
1171,365,555,57
1173,1674,1307,983
1174,262,396,26
1175,363,731,138
1176,5,3,1
1177,174,232,10
1178,8303,7850,6093
1179,6,0,3
1181,10114,7784,6868
1182,767,609,7
1183,803,666,2
1184,0,4,0
1185,5,2,1
1186,3906,3764,1800
1187,1332,1717,190
1188,228,222,50
1189,48,32,0
1190,0,1,0
1192,212,107,1
1193,662,814,113
1195,111,185,5
1196,86,90,0
1198,17507,8647,9469
1199,140,76,33
1200,399,343,72
1201,4,2,0
1202,201,91,0
1203,34604,51813,6936
1204,0,4,0
1205,0,2,0
1207,245,264,66
1209,1651,2040,382
1210,193,120,25
1211,1,3,0
1212,471,443,222
1213,40,34,7
1214,55,91,5
1215,462,746,78
1216,497,574,69
1217,252,187,0
1218,1633,2392,269
1219,1094,1387,68
1220,354,576,18
1221,1,0,0
1223,6620,6818,3364
1224,2296,2795,632
1225,272,600,147
1227,34,29,0
1228,42948,38266,28542
1229,63,37,18
1232,9,16,8
1233,123,70,30
1235,350,416,221
1236,286,293,23
1237,344,526,38
1238,1,5,0
1239,0,2,0
1240,42,12,19
1241,231,75,58
1242,7,6,0
1246,13,15,0
1247,124,122,3
1248,1311,1572,794
1250,199,422,60
1252,113,43,2
1254,14,18,0
1255,7,20,1
1256,53,22,3
1257,20,25,0
1258,3,10,0
1259,27,78,4
1260,32,90,0
1261,2,4,0
1262,873,871,202
1263,0,1,0
1264,172,222,15
1265,687,548,100
1266,496,633,202
1267,320,494,117
1268,455,466,108
1269,415,386,142
1270,1252,1326,257
1271,294,463,81
1273,0,13,0
1274,80,153,21
1275,45,27,4
1276,2,7,0
1277,25322,7387,210
1278,602,1113,110
1279,35,64,0
1280,316,505,233
1281,72,97,11
1282,16,5,0
1283,74,49,3
1284,42,32,5
1285,97,55,7
1287,42,48,6
1288,928,1212,269
1289,598,1013,402
1290,741,934,690
1291,584,740,167
1292,828,1251,601
1293,62,66,3
1294,845,835,4
1295,255,258,60
1296,85,51,0
1297,124,1635,1109
1299,34,82,0
1300,2,0,0
1301,1501,2089,614
1305,103,95,0
1309,36,29,2
1310,900,779,80
1311,425,331,220
1312,53,35,0
1314,1,9,0
1315,15,0,0
1316,44,262,10
1317,16552,16347,12758
1318,56,95,0
1319,62,51,0
1321,1127,1407,45
1322,54,257,0
1323,26260,20736,20346
1324,8,9,0
1325,149,127,12
1326,9,17,1
1327,11,15,1
1328,4,53,2
1329,38,105,2
1331,52,112,0
1334,0,12,0
1337,0,12,0
1338,0,2,0
1339,13,84,6
1342,1,2,0
1343,0,10,0
1344,13,32,0
1345,1,0,0
1346,2,2,0
