userid,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
503,803,0,0,0,0,0,0,4,3436,493,309,532,249,3859,390,488,16124,151,406,293,6120,1272,11406,1274
505,2,0,0,0,0,0,0,1,189,345,357,309,44,83,157,245,242,201,225,63,110,171,138,0
510,170,182,203,176,174,148,181,154,232,420,400,249,213,204,209,326,362,293,276,295,367,266,237,195
513,6,5,5,6,17,1,0,0,1,3,7,2,9,1,2,0,10,14,12,12,3,4,8,2
530,0,0,0,0,0,0,0,0,0,16,0,0,0,0,7,17,20,0,10,13,11,64,33,14
538,162,173,110,111,131,130,155,188,158,304,403,368,400,302,361,355,382,315,228,242,277,250,402,296
553,13,3,10,0,2,1,1,2,0,5,19,19,30,34,33,23,49,43,15,34,30,46,27,22
554,62,0,0,0,0,0,0,5,87,153,144,175,41,15,81,181,170,137,205,20,53,57,50,64
570,18,2,3,3,0,1,8,23,30,81,84,46,26,32,27,58,43,46,33,29,26,31,43,57
583,44,32,0,0,0,0,0,4,10,65,141,99,66,49,50,75,98,119,79,60,70,98,132,66
596,34,21,3,1,0,0,0,0,12,80,75,148,71,68,67,107,148,99,63,53,65,66,37,21
601,0,0,0,0,0,0,0,0,28,49,125,96,20,45,63,50,35,64,56,60,57,18,28,34
603,201,28,9,1,0,0,0,287,94,376,469,492,564,213,390,462,448,305,114,530,404,346,338,559
605,5,7,2,0,0,0,0,0,0,3,2,6,0,0,0,2,14,8,9,67,4,1,4,1
607,0,0,0,0,0,0,0,0,4,18,39,114,93,50,67,98,56,75,23,2,51,3,2,0
609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0
611,15,2,9,3,0,0,0,15,13,67,38,32,16,11,40,51,33,25,8,46,21,25,26,4
612,0,0,0,0,0,0,0,4,475,807,435,546,70,54,363,337,494,116,422,222,456,304,139,1314
613,19,7,2,20,11,15,18,12,78,126,113,81,10,17,61,57,60,84,49,54,66,21,53,25
614,6,1,0,0,3,0,3,35,170,221,298,139,81,63,118,198,165,147,99,93,106,98,152,63
615,0,0,0,0,0,0,0,0,6,107,129,68,41,50,76,51,77,63,28,15,90,74,73,0
616,0,0,0,0,0,0,0,0,13,98,94,42,31,23,53,55,53,35,6,9,18,18,23,10
617,0,0,0,0,0,0,0,0,2,1,2,1,1,0,2,0,7,9,1,0,1,1,9,0
618,148,32,22,7,3,2,11,138,425,903,917,982,449,127,252,678,699,626,297,552,442,786,1014,400
619,1611,1401,634,658,188,45,36,34,159,1151,1211,1230,409,608,960,1132,1361,1148,968,899,941,1522,2048,1610
620,3,8,3,1,0,0,6,11,9,33,59,60,27,49,17,61,51,41,8,19,22,58,39,39
621,0,0,0,0,0,0,0,0,0,15,31,13,14,4,21,37,14,4,0,0,2,1,0,0
622,0,1,0,0,0,0,0,0,0,4,6,15,3,1,1,7,9,6,2,1,8,9,10,12
623,595,575,337,66,39,7,13,74,145,325,456,202,164,171,276,332,314,298,215,300,390,280,265,263
624,15,1,0,0,0,0,0,16,16,32,36,7,2,4,45,43,39,33,6,12,33,32,26,17
625,34,2,0,1,0,0,8,0,14,42,92,76,44,128,56,58,101,77,76,44,28,98,108,124
626,145,74,16,8,15,11,17,67,130,237,228,245,206,224,123,214,254,176,219,191,265,265,212,225
627,5,2,2,0,0,0,2,39,76,150,147,100,25,26,55,82,70,54,37,59,76,121,49,19
628,199,170,153,146,51,47,21,25,37,74,48,45,17,69,110,81,68,69,58,105,121,174,192,141
629,29,22,0,7,4,4,25,36,128,343,184,138,68,52,182,159,134,130,137,99,148,217,103,52
630,36,16,6,5,6,0,0,1,97,135,131,187,157,19,111,124,115,135,220,112,38,59,30,45
631,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,0,0,0,0,0
632,28,22,21,12,16,41,31,43,150,126,159,110,26,16,88,84,90,42,55,49,65,61,51,17
633,0,0,0,0,0,0,0,0,0,1,1,7,6,9,0,0,0,0,8,0,0,0,0,0
634,19,11,20,11,5,5,8,3,13,18,16,5,1,11,9,20,22,1,1,2,4,7,14,26
