userid,"from_unixtime(submittime, ""%Y-%m-%d %h"")",batch_number
1277,2017-11-11 02,20002
503,2017-05-30 04,14273
503,2016-03-28 10,10080
1167,2017-11-09 02,6000
503,2014-11-01 08,5995
1323,2017-10-10 12,5813
1323,2017-10-10 07,5811
1323,2017-10-10 02,5810
1323,2017-10-10 04,5801
1323,2017-10-10 01,5793
1323,2017-10-10 05,5792
1323,2017-10-10 03,5782
1323,2017-10-10 06,5769
1323,2017-10-10 08,4713
1167,2017-11-13 08,4000
1167,2017-11-08 06,3672
1167,2017-11-08 12,3451
1203,2017-10-31 11,3417
503,2017-05-11 01,3120
1277,2017-09-27 04,3001
1323,2017-10-09 10,2910
1323,2017-10-09 11,2908
1323,2017-10-10 10,2883
1323,2017-10-10 11,2869
1323,2017-10-10 09,2833
1228,2016-10-22 01,2363
1167,2017-11-05 05,2311
1167,2017-11-04 11,2310
1167,2017-11-07 02,2216
1198,2016-01-17 09,2141
1198,2016-01-17 06,2140
1198,2016-01-17 10,2140
1198,2016-01-17 11,2140
1198,2016-01-17 08,2139
1198,2016-01-17 07,2138
1228,2016-10-22 12,2108
1203,2017-05-12 10,2101
1203,2017-09-07 09,2004
1203,2017-06-25 10,2000
1203,2017-11-12 09,2000
1203,2017-11-14 07,2000
1167,2017-11-06 10,2000
1167,2017-11-10 03,2000
1167,2017-11-12 04,2000
1203,2017-10-27 09,1954
1167,2017-11-07 04,1784
1228,2016-10-22 02,1702
1198,2016-01-17 05,1663
1228,2016-12-18 08,1608
1228,2017-07-06 01,1560
1228,2017-07-06 02,1560
1228,2017-07-06 03,1560
1228,2017-07-06 05,1560
1228,2017-07-06 06,1560
1228,2017-07-06 08,1560
1228,2017-07-06 09,1560
1228,2017-07-06 10,1560
1228,2017-07-06 11,1560
1228,2016-05-03 06,1502
1203,2017-09-03 05,1501
1203,2017-10-03 05,1481
1203,2017-10-07 05,1479
1203,2017-05-24 10,1450
1228,2017-07-06 04,1430
1228,2017-07-06 07,1430
1228,2017-07-06 12,1430
1198,2016-01-17 02,1428
1198,2016-01-17 04,1425
1198,2016-01-17 03,1423
1198,2016-01-16 09,1421
1198,2016-01-16 08,1420
1203,2017-11-11 10,1400
1228,2016-05-03 09,1353
1228,2016-05-03 08,1352
1203,2017-06-18 04,1344
1228,2016-05-03 10,1328
1203,2017-10-27 10,1326
1228,2016-05-03 07,1320
1228,2016-05-03 03,1305
1203,2017-11-27 10,1267
1228,2016-05-03 05,1247
1228,2016-05-03 04,1243
1203,2017-11-20 08,1243
1198,2016-01-16 07,1242
1228,2016-05-03 02,1232
503,2017-05-12 08,1225
1228,2016-12-18 11,1212
1198,2016-01-17 01,1206
1277,2017-09-28 09,1202
1277,2017-09-28 10,1197
653,2016-12-05 12,1197
1228,2016-10-22 04,1194
1203,2017-11-02 10,1186
1228,2016-10-22 06,1170
1228,2016-10-22 03,1147
1203,2017-05-11 02,1144
1228,2016-05-03 01,1140
1228,2016-10-21 08,1134
1228,2016-10-21 09,1134
1228,2016-10-21 10,1134
1228,2016-10-22 07,1134
1228,2016-10-22 08,1134
1228,2016-10-22 09,1134
1228,2016-10-22 10,1134
1203,2017-10-15 08,1128
1228,2016-10-21 11,1106
1203,2017-11-25 01,1093
1323,2017-10-09 09,1085
1198,2016-01-17 12,1073
1198,2016-01-18 02,1071
1198,2016-01-18 03,1071
1198,2016-01-18 04,1071
1198,2016-01-18 12,1071
1198,2016-01-18 01,1068
1181,2016-02-02 02,1060
1228,2016-05-03 12,1014
1277,2017-09-27 10,1013
1203,2017-10-16 04,1008
1228,2016-12-18 09,1006
1277,2017-09-13 09,1003
1277,2017-09-27 03,1001
1203,2017-09-01 09,1001
1203,2017-10-08 10,1001
1203,2017-05-24 02,1000
1203,2017-05-25 04,1000
1203,2017-05-25 10,1000
1203,2017-05-26 05,1000
1203,2017-05-27 05,1000
1203,2017-05-28 02,1000
1203,2017-06-25 08,1000
1203,2017-06-25 11,1000
1203,2017-07-18 10,1000
1203,2017-10-04 12,1000
1203,2017-10-07 08,1000
1203,2017-11-09 09,1000
1203,2017-11-10 03,1000
1203,2017-11-17 11,1000
1203,2017-11-18 07,1000
1203,2017-11-19 09,1000
1203,2017-11-19 10,1000
1203,2017-11-21 11,1000
1203,2017-11-25 10,1000
1167,2017-11-06 05,1000
1167,2017-11-06 06,1000
653,2016-12-05 03,1000
1203,2017-11-05 12,999
1198,2016-01-18 05,994
653,2016-12-05 02,987
1228,2016-05-10 09,975
1178,2016-02-02 02,969
1228,2016-10-22 05,945
1228,2016-10-22 11,945
1203,2017-08-26 04,900
1203,2017-11-03 05,900
1203,2017-11-03 11,900
503,2014-09-28 09,864
1203,2017-11-26 09,856
503,2017-05-11 08,821
1203,2017-07-19 10,800
1167,2017-11-04 07,800
1228,2017-07-05 02,799
1228,2016-05-10 10,798
1203,2017-10-17 10,787
1203,2017-10-12 04,784
1228,2017-07-05 03,780
1228,2017-07-05 04,780
1228,2017-07-05 05,780
1228,2017-07-05 06,780
1228,2017-07-05 07,780
1228,2017-07-05 08,780
1228,2017-07-05 10,780
1228,2017-07-05 11,780
1228,2017-07-07 01,780
1228,2017-07-07 03,780
1228,2017-07-07 04,780
1228,2017-07-07 05,780
1228,2017-07-07 06,780
1228,2017-07-07 07,780
1228,2017-07-07 08,780
1228,2017-07-07 10,780
1228,2017-07-07 12,780
1228,2016-12-18 04,758
1203,2017-05-09 08,750
1203,2017-11-20 09,742
1228,2016-05-03 11,733
727,2016-04-21 02,732
612,2016-02-24 11,724
1198,2016-01-18 07,715
1198,2016-01-18 08,714
1198,2016-01-18 06,713
1203,2017-09-23 09,696
1198,2016-01-16 06,677
503,2014-10-24 04,659
1203,2017-05-09 10,652
1203,2017-10-27 07,652
1228,2017-07-05 09,650
1228,2017-07-07 02,650
1228,2017-07-07 09,650
1203,2017-10-27 08,650
1228,2016-06-12 11,620
1167,2017-11-06 03,620
1203,2017-11-04 10,618
1186,2015-09-21 07,614
1228,2016-11-22 05,606
1228,2016-12-18 10,603
1203,2017-11-16 02,602
1186,2015-09-21 05,601
1203,2017-08-27 09,600
1203,2017-11-04 02,594
1186,2015-09-21 04,590
727,2016-03-08 10,583
637,2015-11-26 07,583
503,2016-03-25 04,580
503,2016-03-29 08,580
503,2016-03-29 12,580
1186,2015-09-21 06,579
612,2016-02-23 11,571
1228,2016-05-02 11,569
727,2016-03-03 03,545
653,2017-08-24 12,540
503,2014-10-11 10,540
1317,2017-08-13 01,529
1228,2016-06-12 04,520
1317,2017-08-11 11,510
727,2016-04-21 01,510
1198,2016-01-18 09,505
1186,2015-09-21 08,505
727,2016-03-04 05,503
1277,2017-11-03 02,502
1203,2017-09-27 09,502
1277,2017-11-03 01,501
1203,2017-11-26 03,501
1228,2017-05-03 10,500
1228,2017-09-18 01,500
1203,2017-05-09 02,500
1203,2017-05-10 08,500
1203,2017-05-11 08,500
1203,2017-05-26 09,500
1203,2017-05-26 10,500
1203,2017-05-27 09,500
1203,2017-05-27 11,500
