userid,weekend,workday
503,8657,38952
505,335,2547
510,2153,3779
513,52,78
530,0,205
538,2040,4163
553,143,318
554,107,1593
570,129,621
583,309,1048
596,210,1029
601,621,207
603,614,6016
605,93,42
607,476,219
609,0,5
611,207,293
612,972,5586
613,205,854
614,494,1765
615,107,841
616,60,521
617,2,35
618,2209,7703
619,6379,15585
620,78,546
621,10,146
622,19,76
623,1721,4381
624,82,333
625,200,1011
626,820,2947
627,262,934
628,522,1699
629,628,1773
630,191,1594
631,0,7
632,241,1162
633,10,22
634,48,204
635,1019,2715
637,2546,9471
638,44,80
639,1257,3280
640,939,5440
641,1424,3977
643,126,612
644,159,736
645,171,590
646,1204,2711
647,172,2028
648,545,2913
649,233,584
650,226,465
651,244,989
652,453,3449
653,851,7473
655,136,522
656,24,244
657,0,22
658,34,214
659,157,720
660,57,104
661,37,32
662,150,390
663,6,2
664,0,33
667,16,1
688,0,1
702,1,0
709,0,20
727,740,6546
741,0,3
746,0,5
747,0,1
748,0,1
754,2,81
757,0,11
759,1,24
760,0,1
763,0,24
795,2,63
864,10,282
865,0,15
866,0,37
867,0,5
868,0,5
895,31,101
934,0,5
962,0,1
967,0,14
969,0,1
973,0,10
983,18,39
993,55,147
1001,69,156
1009,0,1
1010,0,3
1053,1,0
1063,6,9
1165,22,249
1166,44,239
1167,8483,28985
1168,278,1136
1169,2458,12374
1170,381,781
1171,233,744
1173,1236,2728
1174,101,583
1175,260,972
1176,0,9
1177,101,315
1178,4399,17847
1179,0,9
1181,4505,20261
1182,224,1159
1183,295,1176
1184,0,4
1185,2,6
1186,1628,7842
1187,949,2290
1188,115,385
1189,0,80
1190,0,1
1192,41,279
1193,353,1236
1195,66,235
1196,34,142
1198,26322,9301
1199,52,197
1200,195,619
1201,2,4
1202,107,185
1203,34451,58902
1204,0,4
1205,2,0
1207,96,479
1209,742,3331
1210,39,299
1211,0,4
1212,233,903
1213,11,70
1214,71,80
1215,163,1123
1216,287,853
1217,59,380
1218,877,3417
1219,414,2135
1220,174,774
1221,0,1
1223,10313,6489
1224,1115,4608
1225,196,823
1227,0,63
1228,29922,79834
1229,19,99
1232,12,21
1233,78,145
1235,380,607
1236,100,502
1237,225,683
1238,0,6
1239,0,2
1240,8,65
1241,22,342
1242,3,10
1246,4,24
1247,27,222
1248,1008,2669
1250,121,560
1252,63,95
1254,7,25
1255,12,16
1256,29,49
1257,17,28
1258,0,13
1259,4,105
1260,13,109
1261,0,6
1262,515,1431
1263,0,1
1264,97,312
1265,261,1074
1266,312,1019
1267,293,638
1268,189,840
1269,221,722
1270,544,2291
1271,216,622
1273,13,0
1274,60,194
1275,12,64
1276,4,5
1277,21052,11867
1278,413,1412
1279,53,46
1280,258,796
1281,61,119
1282,0,21
1283,31,95
1284,11,68
1285,29,130
1287,12,84
1288,629,1780
1289,349,1664
1290,628,1737
1291,407,1084
1292,810,1870
1293,20,111
1294,227,1457
1295,173,400
1296,9,127
1297,824,2044
1299,82,34
1300,2,0
1301,509,3695
1305,22,176
1309,62,5
1310,123,1636
1311,197,779
1312,25,63
1314,0,10
1315,7,8
1316,78,238
1317,13530,32127
1318,0,151
1319,48,65
1321,976,1603
1322,21,290
1323,112,67230
1324,2,15
1325,77,211
1326,3,24
1327,5,22
1328,0,59
1329,32,113
1331,60,104
1334,0,12
1337,12,0
1338,0,2
1339,6,97
1342,3,0
1343,2,8
1344,35,10
1345,0,1
1346,2,2
