userid,weekend,workday,,,,,,
503,1936,4511,,,,,,
505,100,665,,,,,,
510,274,330,,,,,,
513,19,31,,,,,,
530,0,65,,,,,,
538,283,785,,,,,,
553,40,142,,,,,,
554,33,247,,,,,,
570,18,67,,,,,,
583,39,149,,,,,,
596,53,233,,,,,,
601,5,3,,,,,,
603,51,230,,,,,,
605,0,2,,,,,,
607,109,45,,,,,,
609,0,1,,,,,,
611,27,22,,,,,,
612,537,1376,,,,,,
613,61,260,,,,,,
614,227,812,,,,,,
615,60,329,,,,,,
616,24,203,,,,,,
617,0,3,,,,,,
618,1410,4646,,,,,,
619,1409,3550,,,,,,
620,42,240,,,,,,
621,3,64,,,,,,
622,3,18,,,,,,
623,857,2060,,,,,,
624,15,57,,,,,,
625,143,674,,,,,,
626,398,1323,,,,,,
627,137,489,,,,,,
628,140,481,,,,,,
629,390,1042,,,,,,
630,34,252,,,,,,
631,0,1,,,,,,
632,90,344,,,,,,
633,4,2,,,,,,
634,8,49,,,,,,
635,590,1745,,,,,,
637,767,2344,,,,,,
638,6,32,,,,,,
639,519,1476,,,,,,
640,481,1943,,,,,,
641,537,1607,,,,,,
643,64,315,,,,,,
644,62,218,,,,,,
645,91,276,,,,,,
646,261,769,,,,,,
647,66,417,,,,,,
648,149,764,,,,,,
649,74,130,,,,,,
650,79,167,,,,,,
651,67,294,,,,,,
652,195,1059,,,,,,
653,383,1187,,,,,,
655,27,116,,,,,,
656,10,121,,,,,,
657,0,2,,,,,,
658,4,73,,,,,,
659,23,181,,,,,,
660,22,48,,,,,,
661,28,8,,,,,,
662,27,73,,,,,,
664,0,1,,,,,,
709,0,5,,,,,,
727,433,2632,,,,,,
759,0,1,,,,,,
795,1,7,,,,,,
864,1,22,,,,,,
865,0,11,,,,,,
866,0,9,,,,,,
867,0,5,,,,,,
868,0,5,,,,,,
895,3,11,,,,,,
934,0,1,,,,,,
962,0,1,,,,,,
967,0,2,,,,,,
983,5,1,,,,,,
993,9,18,,,,,,
1001,52,23,,,,,,
1063,2,3,,,,,,
1165,3,34,,,,,,
1166,8,32,,,,,,
1167,849,446,,,,,,
1168,124,418,,,,,,
1169,1043,5539,,,,,,
1170,84,336,,,,,,
1171,82,211,,,,,,
1173,328,1142,,,,,,
1174,0,13,,,,,,
1175,62,241,,,,,,
1176,0,3,,,,,,
1177,3,21,,,,,,
1178,682,2311,,,,,,
1179,0,5,,,,,,
1181,953,3123,,,,,,
1182,97,532,,,,,,
1183,83,530,,,,,,
1185,0,2,,,,,,
1186,522,1295,,,,,,
1187,297,803,,,,,,
1188,56,143,,,,,,
1189,0,13,,,,,,
1192,8,62,,,,,,
1193,177,512,,,,,,
1195,7,35,,,,,,
1196,17,77,,,,,,
1198,22,69,,,,,,
1199,39,117,,,,,,
1200,86,258,,,,,,
1201,1,3,,,,,,
1202,21,51,,,,,,
1203,16114,28056,,,,,,
1207,63,266,,,,,,
1209,128,741,,,,,,
1210,1,42,,,,,,
1212,65,259,,,,,,
1213,4,19,,,,,,
1214,12,30,,,,,,
1215,43,248,,,,,,
1216,197,306,,,,,,
1217,17,81,,,,,,
1218,131,510,,,,,,
1219,106,455,,,,,,
1220,73,268,,,,,,
1223,170,533,,,,,,
1224,211,1065,,,,,,
1225,35,179,,,,,,
1227,0,16,,,,,,
1228,2414,6366,,,,,,
1229,6,40,,,,,,
1232,1,0,,,,,,
1233,56,63,,,,,,
1235,172,256,,,,,,
1236,17,65,,,,,,
1237,41,120,,,,,,
1238,0,3,,,,,,
1239,0,2,,,,,,
1240,2,26,,,,,,
1241,1,16,,,,,,
1242,0,3,,,,,,
1246,0,3,,,,,,
1247,6,76,,,,,,
1248,531,1421,,,,,,
1250,12,63,,,,,,
1252,7,24,,,,,,
1254,3,6,,,,,,
1255,3,0,,,,,,
1256,12,23,,,,,,
1257,5,14,,,,,,
1258,0,2,,,,,,
1259,0,7,,,,,,
1260,2,9,,,,,,
1262,275,666,,,,,,
1264,10,40,,,,,,
1265,145,504,,,,,,
1266,128,338,,,,,,
1267,83,224,,,,,,
1268,64,256,,,,,,
1269,42,82,,,,,,
1270,76,345,,,,,,
1271,63,212,,,,,,
1274,4,62,,,,,,
1275,1,6,,,,,,
1277,0,7,,,,,,
1278,113,364,,,,,,
1279,0,8,,,,,,
1280,63,92,,,,,,
1281,3,6,,,,,,
1283,7,22,,,,,,
1284,0,9,,,,,,
1285,11,35,,,,,,
1287,10,34,,,,,,
1288,103,372,,,,,,
1289,66,230,,,,,,
1290,95,302,,,,,,
1291,89,246,,,,,,
1292,85,179,,,,,,
1293,10,41,,,,,,
1294,135,799,,,,,,
1295,52,114,,,,,,
1296,1,14,,,,,,
1297,81,249,,,,,,
1301,117,1136,,,,,,
1305,3,1,,,,,,
1309,0,2,,,,,,
1310,9,75,,,,,,
1311,34,101,,,,,,
1312,11,39,,,,,,
1316,5,12,,,,,,
1317,12,54,,,,,,
1319,11,24,,,,,,
1321,78,161,,,,,,
1322,6,7,,,,,,
1323,12,53,,,,,,
1324,0,2,,,,,,
1325,30,57,,,,,,
1326,0,2,,,,,,
1327,0,4,,,,,,
1328,0,11,,,,,,
1329,24,71,,,,,,
1334,0,2,,,,,,
1339,0,5,,,,,,
1344,5,4,,,,,,
1345,0,1,,,,,,
1346,2,0,,,,,,
,42506,111667,,,,,,
,,,,,174150,459967,,
,,,,,42506,111667,,
,,,,,6885,24878,,
,,,,,,,,
,,,,,,,,¶Ì
,,,,,,,,ÖÐ
,,,,,,,,³¤
