userid,,tue,wen,thr,fri,sta,sun,mon
503,,12664,16198,1017,5285,3788,6856,1801
505,,626,626,272,484,539,308,27
510,,1293,389,452,816,829,1165,988
513,,12,3,7,13,43,15,37
530,,0,49,38,91,27,0,0
538,,939,985,685,639,915,1232,808
553,,96,46,79,58,39,117,26
554,,344,327,428,218,276,73,34
570,,82,155,122,131,131,57,72
583,,204,223,228,162,231,167,142
596,,139,196,158,252,284,149,61
601,,0,4,12,24,167,532,89
603,,943,1405,1782,1221,665,369,245
605,,12,3,0,27,0,86,7
607,,89,24,21,58,27,476,0
609,,0,0,1,2,2,0,0
611,,59,84,36,68,46,125,82
612,,650,1612,2110,662,552,407,565
613,,104,236,182,189,143,108,97
614,,377,370,385,351,282,267,227
615,,144,210,130,213,144,69,38
616,,107,124,122,112,56,28,32
617,,12,15,0,5,3,1,1
618,,1424,1500,1508,1502,1769,998,1211
619,,3011,3037,4280,2660,2597,2973,3406
620,,107,171,140,68,60,35,43
621,,35,19,70,20,2,4,6
622,,18,15,16,18,9,3,16
623,,1050,845,912,940,634,833,888
624,,57,72,64,75,65,28,54
625,,193,181,216,288,133,86,114
626,,545,689,649,553,511,372,448
627,,187,183,174,219,171,136,126
628,,336,414,312,304,333,240,282
629,,339,364,385,355,330,329,299
630,,408,332,420,179,255,69,122
631,,1,4,2,0,0,0,0
632,,174,244,257,252,235,151,90
633,,8,0,0,0,14,10,0
634,,29,39,58,54,24,40,8
635,,593,446,658,428,590,527,492
637,,1236,1616,2046,2431,2142,1477,1069
638,,6,10,39,16,9,20,24
639,,656,608,705,751,560,473,784
640,,945,1350,850,940,1355,666,273
641,,702,701,976,918,680,842,582
643,,130,115,123,149,95,80,46
644,,190,132,85,196,133,96,63
645,,104,112,134,129,111,92,79
646,,446,518,714,553,480,612,592
647,,623,516,279,371,239,124,48
648,,655,585,531,567,575,279,266
649,,79,79,113,249,64,92,141
650,,118,90,86,100,71,117,109
651,,225,186,226,197,155,97,147
652,,726,810,650,695,568,301,152
653,,4745,556,546,931,695,391,460
655,,85,94,143,84,116,53,83
656,,35,65,42,54,48,15,9
657,,3,0,0,16,3,0,0
658,,52,50,32,16,64,16,18
659,,145,107,141,220,107,113,44
660,,25,34,16,16,13,12,45
661,,1,0,0,0,31,0,37
662,,53,86,83,85,83,68,82
663,,0,0,0,1,1,1,5
664,,7,18,1,5,2,0,0
667,,0,0,1,0,0,1,15
688,,0,0,0,0,1,0,0
702,,0,0,0,0,0,0,1
709,,5,2,10,0,3,0,0
727,,1039,1394,455,3014,644,336,404
741,,0,1,2,0,0,0,0
746,,5,0,0,0,0,0,0
747,,0,1,0,0,0,0,0
748,,1,0,0,0,0,0,0
754,,5,16,18,24,18,0,2
757,,0,0,0,0,11,0,0
759,,0,14,4,0,6,0,1
760,,0,0,0,1,0,0,0
763,,0,8,0,16,0,0,0
795,,37,9,4,1,12,1,1
864,,94,58,36,40,54,5,5
865,,1,9,5,0,0,0,0
866,,1,12,0,24,0,0,0
867,,1,4,0,0,0,0,0
868,,1,4,0,0,0,0,0
895,,14,4,31,18,34,13,18
934,,4,0,0,1,0,0,0
962,,0,0,0,1,0,0,0
967,,11,1,2,0,0,0,0
969,,0,0,1,0,0,0,0
973,,9,0,0,1,0,0,0
983,,3,0,8,21,7,15,3
993,,13,21,41,23,49,26,29
1001,,28,15,63,21,29,23,46
1009,,0,0,1,0,0,0,0
1010,,0,0,3,0,0,0,0
1053,,0,0,0,0,0,1,0
1063,,2,2,1,0,4,2,4
1165,,107,21,35,66,20,16,6
1166,,63,41,64,30,41,31,13
1167,,8898,4288,7333,6214,2252,3373,5110
1168,,286,229,184,255,182,114,164
1169,,2485,2515,2575,2463,2336,1518,940
1170,,102,165,171,188,155,260,121
1171,,145,175,135,156,133,154,79
1173,,583,594,627,471,453,846,390
1174,,157,85,9,57,275,84,17
1175,,175,191,199,249,158,144,116
1176,,1,5,1,1,1,0,0
1177,,32,64,185,7,27,99,2
1178,,4061,5834,2612,2980,2360,1740,2659
1179,,3,0,6,0,0,0,0
1181,,3900,5076,4280,3262,3743,2248,2257
1182,,222,221,307,167,242,135,89
1183,,217,223,241,222,273,138,157
1184,,0,4,0,0,0,0,0
1185,,2,2,1,1,0,0,2
1186,,3669,757,788,1272,1356,818,810
1187,,466,426,357,567,474,678,271
1188,,101,53,52,96,83,48,67
1189,,18,8,2,5,47,0,0
1190,,0,1,0,0,0,0,0
1192,,52,61,69,51,46,21,20
1193,,336,262,237,234,167,177,176
1195,,41,33,73,43,45,42,24
1196,,29,27,28,30,28,20,14
1198,,9004,49,103,67,78,5231,21091
1199,,42,44,26,59,26,9,43
1200,,123,155,151,118,72,133,62
1201,,0,0,4,0,0,1,1
1202,,40,30,39,41,35,27,80
1203,,8739,15708,7282,11858,15315,15830,18621
1204,,0,0,4,0,0,0,0
1205,,0,0,0,0,0,2,0
1207,,109,72,97,97,104,27,69
1209,,586,755,676,618,696,433,309
1210,,51,36,99,53,60,11,28
1211,,0,0,1,3,0,0,0
1212,,201,151,211,202,138,72,161
1213,,9,22,12,11,16,4,7
1214,,17,10,9,10,34,49,22
1215,,222,216,239,197,249,87,76
1216,,159,198,134,179,183,125,162
1217,,90,24,62,66,138,28,31
1218,,447,507,792,800,871,647,230
1219,,311,319,443,503,559,240,174
1220,,168,124,175,134,173,88,86
1221,,0,0,1,0,0,0,0
1223,,473,547,951,1551,2967,5138,5175
1224,,716,1637,1169,605,481,501,614
1225,,77,274,161,235,76,52,144
1227,,0,36,14,13,0,0,0
1228,,7327,21526,11641,22560,16780,18502,11420
1229,,36,14,10,17,22,0,19
1232,,7,0,0,12,2,3,9
1233,,36,14,58,15,22,24,54
1235,,107,223,94,99,84,203,177
1236,,164,116,71,82,69,42,58
1237,,109,149,138,160,127,91,134
1238,,0,0,6,0,0,0,0
1239,,0,0,2,0,0,0,0
1240,,7,21,12,15,10,8,0
1241,,49,102,115,29,47,1,21
1242,,1,2,4,2,1,1,2
1246,,3,5,1,12,3,0,4
1247,,45,43,48,38,48,16,11
1248,,459,647,628,412,523,469,539
1250,,123,120,75,143,99,80,41
1252,,11,15,30,25,14,53,10
1254,,8,3,12,1,1,6,1
1255,,6,2,1,2,5,3,9
1256,,19,12,9,4,5,17,12
1257,,5,7,4,4,8,8,9
1258,,0,0,0,8,5,0,0
1259,,45,31,6,6,17,4,0
1260,,37,10,8,20,34,1,12
1261,,1,1,1,3,0,0,0
1262,,312,282,270,307,260,282,233
1263,,0,0,1,0,0,0,0
1264,,65,85,73,28,61,57,40
1265,,169,270,249,169,217,105,156
1266,,206,194,250,204,165,159,153
1267,,121,85,138,157,137,122,171
1268,,190,119,210,139,182,66,123
1269,,192,119,113,128,170,132,89
1270,,533,481,363,427,487,244,300
1271,,153,126,84,140,119,135,81
1273,,0,0,0,0,0,13,0
1274,,26,79,26,23,40,39,21
1275,,7,7,6,30,14,4,8
1276,,2,0,0,0,3,4,0
1277,,286,53,7006,3501,1021,20427,625
1278,,205,312,308,309,278,209,204
1279,,8,4,14,4,16,31,22
1280,,213,152,128,166,137,134,124
1281,,28,10,27,33,21,28,33
1282,,9,7,2,3,0,0,0
1283,,7,19,27,14,28,9,22
1284,,5,15,19,24,5,0,11
1285,,11,21,30,33,35,13,16
1287,,10,15,9,19,31,7,5
1288,,476,239,305,265,495,356,273
1289,,293,326,308,351,386,192,157
1290,,322,401,369,372,273,294,334
1291,,241,249,238,185,171,183,224
1292,,374,355,297,370,474,410,400
1293,,19,18,28,14,32,9,11
1294,,204,334,276,326,317,111,116
1295,,94,58,91,94,63,72,101
1296,,31,23,37,23,13,6,3
1297,,437,676,145,382,404,254,570
1299,,33,1,0,0,0,0,82
1300,,0,0,0,0,0,0,2
1301,,448,1080,1272,636,259,224,285
1305,,13,9,26,81,47,12,10
1309,,2,0,3,0,0,0,62
1310,,105,84,139,1021,287,44,79
1311,,513,34,92,57,83,43,154
1312,,19,15,12,9,8,4,21
1314,,0,0,0,9,1,0,0
1315,,0,0,0,0,8,7,0
1316,,132,3,36,43,24,10,68
1317,,4479,6686,7454,6389,7119,6068,7462
1318,,29,29,5,34,54,0,0
1319,,5,11,28,5,16,26,22
1321,,279,377,300,294,353,199,777
1322,,237,15,10,15,13,11,10
1323,,7024,72,125,195,146,67,45
1324,,10,0,0,5,0,0,2
1325,,62,56,44,26,23,31,46
1326,,12,2,2,8,0,1,2
1327,,7,8,2,4,1,4,1
1328,,29,7,3,20,0,0,0
1329,,7,27,15,28,36,7,25
1331,,40,40,2,0,22,0,60
1334,,0,0,12,0,0,0,0
1337,,0,0,0,0,0,12,0
1338,,0,0,0,0,2,0,0
1339,,21,15,18,32,11,6,0
1342,,0,0,0,0,0,2,1
1343,,8,0,0,0,0,0,2
1344,,2,0,0,1,7,23,12
1345,,0,0,1,0,0,0,0
1346,,2,0,0,0,0,2,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,日,,,,
,,,,一,,,,
,,,,二,,,,
,,,,三,,,,
,,,,四,,,,
,,,,五,,,,
,,,,六,,,,
,,,,日,,,,
