userid,weekend,workday
503,6481,34229
505,229,1768
510,1827,3238
513,27,41
530,0,140
538,1659,3060
553,73,155
554,71,1325
570,53,353
583,216,696
596,152,775
601,606,204
603,514,5585
605,93,37
607,363,163
609,0,2
611,172,266
612,269,3616
613,90,330
614,228,794
615,45,482
616,29,256
617,2,27
618,653,2488
619,4760,11293
620,28,255
621,3,69
622,8,27
623,718,2057
624,26,181
625,42,275
626,370,1453
627,95,350
628,291,926
629,156,442
630,146,1286
631,0,6
632,75,477
633,5,14
634,33,136
635,372,809
637,1623,6794
638,33,45
639,525,1749
640,337,2681
641,873,2307
643,45,233
644,78,427
645,67,236
646,903,1795
647,76,1505
648,350,1936
649,153,447
650,119,211
651,97,437
652,209,2245
653,399,6065
655,69,265
656,8,63
657,0,18
658,15,68
659,53,238
660,28,51
661,7,24
662,43,170
663,1,1
664,0,32
667,16,1
688,0,1
702,1,0
709,0,15
727,277,3417
741,0,2
746,0,4
747,0,1
748,0,1
754,2,77
757,0,11
759,1,3
760,0,1
763,0,22
795,0,33
864,4,75
865,0,4
866,0,28
895,7,25
934,0,4
967,0,12
969,0,1
973,0,10
983,1,16
993,32,89
1001,14,129
1009,0,1
1010,0,3
1053,1,0
1063,0,4
1165,14,185
1166,18,137
1167,7634,28536
1168,72,481
1169,854,4514
1170,275,354
1171,104,345
1173,842,1263
1174,91,523
1175,172,606
1176,0,4
1177,97,292
1178,3632,15184
1179,0,3
1181,3453,16787
1182,122,566
1183,201,591
1184,0,4
1185,2,4
1186,985,6272
1187,562,1201
1188,19,123
1189,0,62
1190,0,1
1192,27,174
1193,160,622
1195,44,154
1196,4,32
1198,26285,9198
1199,10,49
1200,93,297
1201,1,1
1202,57,51
1203,18281,28693
1204,0,4
1205,2,0
1207,21,136
1209,552,2377
1210,20,167
1211,0,4
1212,110,449
1213,5,37
1214,59,47
1215,105,816
1216,72,396
1217,36,287
1218,707,2756
1219,290,1583
1220,89,445
1221,0,1
1223,10143,5917
1224,877,3420
1225,143,598
1227,0,46
1228,26349,70762
1229,10,42
1232,11,21
1233,7,38
1235,130,198
1236,65,372
1237,142,431
1238,0,3
1240,5,18
1241,21,325
1242,0,3
1246,3,17
1247,16,122
1248,351,889
1250,88,439
1252,55,57
1254,2,12
1255,4,10
1256,14,16
1257,9,7
1258,0,11
1259,3,82
1260,6,44
1261,0,5
1262,185,596
1263,0,1
1264,76,234
1265,95,422
1266,132,542
1267,195,365
1268,119,557
1269,167,595
1270,454,1869
1271,145,374
1273,13,0
1274,54,115
1275,10,53
1276,4,4
1277,21052,11860
1278,274,889
1279,53,36
1280,186,671
1281,22,21
1282,0,20
1283,20,58
1284,6,30
1285,7,58
1287,0,36
1288,523,1398
1289,282,1431
1290,531,1432
1291,318,837
1292,724,1673
1293,6,52
1294,59,594
1295,86,188
1296,3,36
1297,715,1449
1299,82,34
1300,2,0
1301,306,2366
1305,12,163
1309,62,3
1310,114,1552
1311,155,651
1312,12,14
1314,0,10
1315,7,8
1316,68,185
1317,13515,32070
1318,0,151
1319,33,36
1321,898,1442
1322,15,283
1323,97,67171
1324,2,7
1325,45,145
1326,3,22
1327,5,17
1328,0,47
1329,8,38
1331,60,104
1334,0,10
1337,12,0
1338,0,2
1339,6,86
1342,3,0
1343,2,8
1344,30,6
1346,0,2
,174150,459967
